City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cherskiy,RU,2022-05-13 00:20:10,68.75,161.3,33.98,99,65,10.51
1,Ancud,CL,2022-05-13 00:20:11,-41.8697,-73.8203,48.15,71,33,14.14
2,Mahebourg,MU,2022-05-13 00:20:11,-20.4081,57.7,71.26,78,63,11.77
3,East London,ZA,2022-05-13 00:15:15,-33.0153,27.9116,62.49,79,0,13.91
4,Paracuru,BR,2022-05-13 00:20:12,-3.41,-39.0306,82.11,89,25,8.48
5,Te Anau,NZ,2022-05-13 00:20:13,-45.4167,167.7167,54.5,67,100,4.56
6,Port Hardy,CA,2022-05-13 00:20:13,50.6996,-127.4199,50.0,81,75,13.8
7,Saldanha,ZA,2022-05-13 00:16:00,-33.0117,17.9442,57.29,82,64,8.52
8,Termoli,IT,2022-05-13 00:20:14,41.9888,14.9895,64.58,65,14,6.02
9,Vaini,TO,2022-05-13 00:20:15,-21.2,-175.2,77.16,57,75,16.11
10,Okha,RU,2022-05-13 00:20:15,53.5739,142.9478,36.75,95,100,5.73
11,Dunedin,NZ,2022-05-13 00:20:16,-45.8742,170.5036,56.17,52,90,1.25
12,Albany,US,2022-05-13 00:19:02,42.6001,-73.9662,77.41,60,62,5.03
13,Oksfjord,NO,2022-05-13 00:20:16,70.2396,22.3479,35.01,99,100,8.99
14,Tallahassee,US,2022-05-13 00:16:04,30.4383,-84.2807,80.8,57,47,5.14
15,Yuncheng,CN,2022-05-13 00:20:17,35.0231,110.9928,58.19,70,63,7.0
16,Kodiak,US,2022-05-13 00:20:18,57.79,-152.4072,45.91,71,100,8.05
17,Sur,OM,2022-05-13 00:20:19,22.5667,59.5289,87.39,31,34,11.43
18,Bethel,US,2022-05-13 00:20:19,41.3712,-73.414,71.69,60,0,4.61
19,Kaeo,NZ,2022-05-13 00:20:20,-35.1,173.7833,63.23,60,10,6.02
20,Flin Flon,CA,2022-05-13 00:20:21,54.7682,-101.865,63.66,36,66,9.35
21,Punta Arenas,CL,2022-05-13 00:20:22,-53.15,-70.9167,42.12,87,40,6.91
22,Mataura,NZ,2022-05-13 00:20:22,-46.1927,168.8643,53.28,70,100,2.35
23,Bengkulu,ID,2022-05-13 00:20:23,-3.8004,102.2655,75.85,86,98,3.27
24,Caravelas,BR,2022-05-13 00:16:03,-17.7125,-39.2481,74.89,87,34,5.64
25,Lata,PT,2022-05-13 00:20:23,40.1629,-8.3327,57.22,69,44,1.95
26,Barrow,US,2022-05-13 00:20:24,71.2906,-156.7887,26.62,74,100,9.22
27,Bluff,NZ,2022-05-13 00:20:24,-46.6,168.3333,53.71,74,100,8.57
28,Ribeira Grande,PT,2022-05-13 00:20:25,38.5167,-28.7,61.5,68,90,13.44
29,Carnarvon,AU,2022-05-13 00:20:26,-24.8667,113.6333,64.47,94,100,13.8
30,Kapaa,US,2022-05-13 00:20:26,22.0752,-159.319,82.38,76,40,16.11
31,Camopi,GF,2022-05-13 00:20:27,3.1655,-52.3158,72.41,98,15,2.75
32,Bambous Virieux,MU,2022-05-13 00:20:27,-20.3428,57.7575,71.22,79,57,12.62
33,Victoria,HK,2022-05-13 00:17:42,22.2855,114.1577,79.95,94,100,5.99
34,Tuktoyaktuk,CA,2022-05-13 00:20:28,69.4541,-133.0374,48.2,53,75,10.36
35,Pisco,PE,2022-05-13 00:20:29,-13.7,-76.2167,66.02,88,5,3.44
36,Puerto Asis,CO,2022-05-13 00:20:29,0.5133,-76.5007,72.3,96,63,2.06
37,Dera Ghazi Khan,PK,2022-05-13 00:20:30,30.0561,70.6348,91.36,6,0,8.66
38,Freetown,SL,2022-05-13 00:20:30,8.484,-13.2299,77.43,89,100,7.4
39,Solotcha,RU,2022-05-13 00:20:31,54.7917,39.8442,51.44,84,98,19.86
40,Hermanus,ZA,2022-05-13 00:20:32,-34.4187,19.2345,57.79,76,28,9.8
41,Rikitea,PF,2022-05-13 00:20:32,-23.1203,-134.9692,77.61,69,4,17.58
42,Saint-Joseph,RE,2022-05-13 00:20:33,-21.3667,55.6167,70.18,71,18,5.84
43,Niamey,NE,2022-05-13 00:20:33,13.5137,2.1098,97.09,30,0,6.91
44,Cape Town,ZA,2022-05-13 00:19:35,-33.9258,18.4232,58.1,93,100,5.75
45,Saint George,US,2022-05-13 00:20:35,37.1041,-113.5841,74.62,12,0,9.22
46,Hasaki,JP,2022-05-13 00:20:35,35.7333,140.8333,68.4,95,100,7.11
47,Kizema,RU,2022-05-13 00:20:36,61.113,44.8302,41.09,83,74,8.61
48,Malakal,SS,2022-05-13 00:20:37,9.5334,31.6605,82.36,51,94,6.24
49,Yellowknife,CA,2022-05-13 00:20:37,62.456,-114.3525,46.92,53,20,12.66
50,Richards Bay,ZA,2022-05-13 00:20:38,-28.783,32.0377,67.15,91,1,8.08
51,Kahului,US,2022-05-13 00:20:38,20.8947,-156.47,86.02,42,40,24.16
52,Cockburn Town,TC,2022-05-13 00:20:39,21.4612,-71.1419,79.54,80,98,21.05
53,Souillac,MU,2022-05-13 00:20:39,-20.5167,57.5167,74.37,78,87,9.15
54,Provideniya,RU,2022-05-13 00:20:40,64.3833,-173.3,39.36,70,75,4.47
55,New Norfolk,AU,2022-05-13 00:20:40,-42.7826,147.0587,53.92,70,43,0.72
56,Ushuaia,AR,2022-05-13 00:20:41,-54.8,-68.3,42.46,93,75,4.61
57,Wewak,PG,2022-05-13 00:20:42,-3.5534,143.6268,85.57,62,75,2.62
58,Fortuna,US,2022-05-13 00:20:42,40.5982,-124.1573,57.09,66,100,6.91
59,Khatanga,RU,2022-05-13 00:20:43,71.9667,102.5,14.16,92,12,12.03
60,Nanakuli,US,2022-05-13 00:20:43,21.3906,-158.1547,84.15,50,0,16.11
61,Grindavik,IS,2022-05-13 00:20:45,63.8424,-22.4338,36.07,75,20,16.11
62,Hamilton,US,2022-05-13 00:17:31,39.1834,-84.5333,80.44,46,0,9.22
63,Chuy,UY,2022-05-13 00:20:45,-33.6971,-53.4616,52.57,71,16,4.83
64,Busselton,AU,2022-05-13 00:20:46,-33.65,115.3333,56.35,71,84,16.96
65,Najran,SA,2022-05-13 00:20:47,17.4924,44.1277,77.65,18,2,2.44
66,Pochutla,MX,2022-05-13 00:20:47,15.7432,-96.4661,91.22,58,32,8.16
67,Key Largo,US,2022-05-13 00:18:00,25.0865,-80.4473,77.0,60,10,1.61
68,Zarubino,RU,2022-05-13 00:20:49,42.63,131.0922,52.77,52,82,4.7
69,Castro,BR,2022-05-13 00:20:49,-24.7911,-50.0119,54.7,91,10,1.34
70,Puerto Escondido,MX,2022-05-13 00:20:50,15.85,-97.0667,88.63,62,40,5.75
71,Tual,ID,2022-05-13 00:20:50,-5.6667,132.75,84.24,71,99,5.35
72,Kaitangata,NZ,2022-05-13 00:20:51,-46.2817,169.8464,54.14,60,93,3.8
73,Gallipoli,TR,2022-05-13 00:20:51,40.4103,26.6708,49.86,55,4,6.35
74,Tacoronte,ES,2022-05-13 00:20:52,28.4769,-16.4102,65.25,92,100,16.11
75,Mar Del Plata,AR,2022-05-13 00:17:16,-38.0023,-57.5575,56.95,78,40,17.0
76,Bredasdorp,ZA,2022-05-13 00:20:53,-34.5322,20.0403,54.41,74,6,7.52
77,Emborion,GR,2022-05-13 00:20:53,40.4833,21.55,53.96,81,29,2.48
78,Sibolga,ID,2022-05-13 00:20:54,1.7427,98.7792,77.25,84,86,3.09
79,Hilo,US,2022-05-13 00:20:54,19.7297,-155.09,83.28,71,20,10.36
80,Axim,GH,2022-05-13 00:20:55,4.8699,-2.2405,80.08,83,98,7.09
81,Isangel,VU,2022-05-13 00:20:55,-19.55,169.2667,80.71,61,75,9.22
82,Souris,CA,2022-05-13 00:20:56,49.6172,-100.2612,57.06,77,93,22.41
83,Sao Joao Da Barra,BR,2022-05-13 00:20:56,-21.6403,-41.0511,72.81,80,70,12.03
84,Del Rio,US,2022-05-13 00:20:57,29.3627,-100.8968,98.62,26,0,19.57
85,San Luis,AR,2022-05-13 00:20:57,-33.295,-66.3356,58.33,70,99,8.21
86,Atuona,PF,2022-05-13 00:20:58,-9.8,-139.0333,78.94,78,17,23.13
87,Shelburne,CA,2022-05-13 00:20:58,44.0787,-80.2041,75.99,78,100,6.31
88,Mumford,GH,2022-05-13 00:20:59,5.2618,-0.759,81.03,82,90,7.16
89,Jamestown,US,2022-05-13 00:21:00,42.097,-79.2353,76.64,43,0,1.01
90,Kouqian,CN,2022-05-13 00:21:00,43.6391,126.4578,54.88,40,55,4.94
91,Baykit,RU,2022-05-13 00:21:02,61.67,96.37,45.75,83,82,1.28
92,Barroquinha,BR,2022-05-13 00:21:02,-3.0189,-41.1361,74.55,97,44,4.61
93,Puerto Ayora,EC,2022-05-13 00:21:03,-0.7393,-90.3518,72.55,94,47,1.01
94,Tutoia,BR,2022-05-13 00:21:04,-2.7619,-42.2744,77.49,90,53,5.84
95,Phan Thiet,VN,2022-05-13 00:17:24,10.9333,108.1,82.06,79,89,5.55
96,Tecoanapa,MX,2022-05-13 00:21:04,16.5167,-98.75,86.63,67,8,8.79
97,Georgetown,MY,2022-05-13 00:21:05,5.4112,100.3354,82.33,88,20,3.44
98,Avera,US,2022-05-13 00:21:06,33.194,-82.5271,75.38,79,82,8.7
99,Nanortalik,GL,2022-05-13 00:21:07,60.1432,-45.2371,33.62,86,100,0.83
100,Kadoma,JP,2022-05-13 00:21:08,34.7333,135.5833,70.18,77,75,6.91
101,Aklavik,CA,2022-05-13 00:21:08,68.2191,-135.0107,47.21,62,100,5.68
102,Pevek,RU,2022-05-13 00:21:09,69.7008,170.3133,25.45,82,92,15.99
103,Nikolskoye,RU,2022-05-13 00:21:09,59.7035,30.7861,47.88,86,97,11.72
104,Nizwa,OM,2022-05-13 00:21:10,22.9333,57.5333,80.42,18,98,1.25
105,Luderitz,NA,2022-05-13 00:21:10,-26.6481,15.1594,54.99,76,36,10.87
106,Russell,US,2022-05-13 00:21:11,32.3502,-85.1999,82.0,39,0,4.61
107,Road Town,VG,2022-05-13 00:21:12,18.4167,-64.6167,80.69,83,40,13.8
108,Hobart,AU,2022-05-13 00:21:12,-42.8794,147.3294,54.27,95,75,9.22
109,Moron,AR,2022-05-13 00:21:14,-34.6534,-58.6198,59.97,79,57,6.85
110,Upernavik,GL,2022-05-13 00:21:15,72.7868,-56.1549,11.7,91,13,5.59
111,Minbu,MM,2022-05-13 00:21:15,20.1833,94.8833,82.11,73,8,8.46
112,Gejiu,CN,2022-05-13 00:21:16,23.306,103.1635,57.99,90,64,1.86
113,Biak,ID,2022-05-13 00:21:16,-0.9131,122.8766,79.84,81,100,1.19
114,Mandera,KE,2022-05-13 00:21:17,3.9366,41.867,78.39,75,38,13.76
115,Durant,US,2022-05-13 00:21:18,33.994,-96.3708,87.96,46,0,12.66
116,Geraldton,AU,2022-05-13 00:21:18,-28.7667,114.6,55.81,88,75,9.22
117,Tasiilaq,GL,2022-05-13 00:21:19,65.6145,-37.6368,26.76,65,27,3.4
118,Ilulissat,GL,2022-05-13 00:21:19,69.2167,-51.1,23.02,74,100,8.05
119,Slave Lake,CA,2022-05-13 00:21:20,55.2834,-114.769,60.78,39,100,6.91
120,Bubaque,GW,2022-05-13 00:18:06,11.2833,-15.8333,77.43,82,13,14.29
121,Dwarka,IN,2022-05-13 00:21:21,22.2394,68.9678,82.29,81,4,15.61
122,Itoman,JP,2022-05-13 00:21:21,26.1247,127.6694,79.57,96,75,16.11
123,Katsuura,JP,2022-05-13 00:21:22,35.1333,140.3,68.11,98,100,12.77
124,Adrar,MR,2022-05-13 00:21:23,20.5022,-10.0711,88.09,12,3,8.55
125,Kombissiri,BF,2022-05-13 00:21:23,12.0656,-1.3375,87.39,52,29,9.64
126,Aksu,CN,2022-05-13 00:17:15,41.1231,80.2644,64.13,47,100,3.85
127,Bariri,BR,2022-05-13 00:21:07,-22.0744,-48.7403,71.85,75,1,3.76
128,Pacific Grove,US,2022-05-13 00:21:24,36.6177,-121.9166,69.89,67,0,11.5
129,Narsaq,GL,2022-05-13 00:21:25,60.9167,-46.05,41.22,87,100,1.81
130,Ekhabi,RU,2022-05-13 00:21:25,53.5102,142.9671,37.06,96,100,5.84
131,Norman Wells,CA,2022-05-13 00:21:26,65.282,-126.8329,60.84,29,40,2.3
132,Ballina,AU,2022-05-13 00:21:27,-28.8667,153.5667,70.79,87,100,18.23
133,Tuatapere,NZ,2022-05-13 00:21:27,-46.1333,167.6833,54.88,73,100,4.07
134,Port Lincoln,AU,2022-05-13 00:21:28,-34.7333,135.8667,60.87,73,89,11.52
135,Berlevag,NO,2022-05-13 00:21:28,70.8578,29.0864,35.55,87,100,11.5
136,Sonqor,IR,2022-05-13 00:21:29,34.7837,47.6004,45.7,55,2,1.7
137,Cape Canaveral,US,2022-05-13 00:21:30,28.4058,-80.6048,74.08,78,20,11.5
138,Guaraniacu,BR,2022-05-13 00:21:31,-25.1008,-52.8781,51.28,92,0,1.72
139,Tulun,RU,2022-05-13 00:21:32,54.5611,100.5792,50.38,38,100,3.22
140,Naze,JP,2022-05-13 00:21:32,28.3667,129.4833,70.72,83,95,17.11
141,Markova,UA,2022-05-13 00:21:33,48.6758,24.4138,58.14,93,82,3.2
142,Batagay-Alyta,RU,2022-05-13 00:21:33,67.8006,130.4114,30.83,92,99,7.14
143,Westport,US,2022-05-13 00:21:34,41.1415,-73.3579,68.56,87,0,11.5
144,Coruripe,BR,2022-05-13 00:21:34,-10.1256,-36.1756,76.84,82,9,6.85
145,Nauen,DE,2022-05-13 00:21:35,52.607,12.8737,58.15,80,61,4.38
146,Boly,HU,2022-05-13 00:21:35,45.9672,18.5183,68.68,78,39,2.48
147,Thatcham,GB,2022-05-13 00:21:36,51.4037,-1.2605,52.3,83,74,11.41
148,Port Macquarie,AU,2022-05-13 00:21:36,-31.4333,152.9167,71.89,94,75,5.75
149,Umba,RU,2022-05-13 00:21:37,66.6871,34.3429,38.98,94,96,2.77
150,Henties Bay,NA,2022-05-13 00:21:38,-22.116,14.2845,57.99,84,45,7.65
151,Saskylakh,RU,2022-05-13 00:21:38,71.9167,114.0833,14.76,91,58,16.04
152,Torbay,CA,2022-05-13 00:17:48,47.6666,-52.7314,39.76,81,20,20.0
153,Wadi Maliz,TN,2022-05-13 00:21:39,36.4681,8.5495,55.06,55,0,1.52
154,Touros,BR,2022-05-13 00:21:39,-5.1989,-35.4608,77.58,88,14,10.02
155,Esperance,AU,2022-05-13 00:21:40,-33.8667,121.9,55.83,75,96,23.78
156,Salym,RU,2022-05-13 00:21:40,60.0625,71.4789,48.52,93,19,3.29
157,Airai,TL,2022-05-13 00:21:41,-8.9266,125.4092,68.63,73,80,1.14
158,Tagusao,PH,2022-05-13 00:21:41,9.1924,117.8141,83.46,76,74,2.8
159,Salalah,OM,2022-05-13 00:21:42,17.0151,54.0924,84.29,42,7,3.44
160,Roebourne,AU,2022-05-13 00:21:42,-20.7833,117.1333,80.69,77,97,17.96
161,Vierzon,FR,2022-05-13 00:21:43,47.2101,2.0625,61.39,86,100,2.91
162,Werda,BW,2022-05-13 00:21:43,-25.2667,23.2833,62.94,35,1,8.08
163,Iqaluit,CA,2022-05-13 00:21:44,63.7506,-68.5145,20.93,79,40,11.5
164,Nyurba,RU,2022-05-13 00:21:44,63.2842,118.3319,41.81,87,99,5.91
165,Isla Vista,US,2022-05-13 00:21:45,34.4133,-119.861,83.3,30,0,14.97
166,San Miguel,SV,2022-05-13 00:21:45,13.4833,-88.1833,83.71,64,13,5.37
167,Mbandaka,CD,2022-05-13 00:21:46,0.0487,18.2603,70.47,87,14,3.11
168,Taoudenni,ML,2022-05-13 00:21:46,22.6783,-3.9836,87.57,10,0,16.4
169,Aykhal,RU,2022-05-13 00:21:47,66.0,111.5,28.83,95,100,8.25
170,Inta,RU,2022-05-13 00:21:47,66.0317,60.1659,41.47,81,66,9.22
171,Surt,LY,2022-05-13 00:21:48,31.2089,16.5887,64.31,70,0,6.82
172,Lebu,CL,2022-05-13 00:17:45,-37.6167,-73.65,52.09,89,69,5.01
173,Zharkent,KZ,2022-05-13 00:21:49,44.1628,80.0,61.03,63,23,5.75
174,Sao Domingos Do Maranhao,BR,2022-05-13 00:21:49,-5.5758,-44.3853,73.56,96,94,2.42
175,Barcelos,PT,2022-05-13 00:21:50,41.5388,-8.6151,65.91,74,86,2.13
176,Pitelino,RU,2022-05-13 00:21:50,54.5777,41.8145,52.41,88,87,21.14
177,Nyrob,RU,2022-05-13 00:21:51,60.733,56.7202,41.85,85,58,4.25
178,Mahon,ES,2022-05-13 00:21:51,39.8885,4.2658,61.36,94,0,4.61
179,Sayyan,YE,2022-05-13 00:21:52,15.1718,44.3244,62.47,20,10,10.49
180,Abbeville,FR,2022-05-13 00:21:52,50.1,1.8333,53.56,94,12,8.3
181,Tezu,IN,2022-05-13 00:21:53,27.9167,96.1667,70.57,98,80,3.47
182,Cidreira,BR,2022-05-13 00:21:53,-30.1811,-50.2056,58.12,83,4,6.6
183,Corbelia,BR,2022-05-13 00:21:55,-24.7989,-53.3067,54.91,87,0,3.65
184,Pontianak,ID,2022-05-13 00:21:55,-0.0333,109.3333,76.98,94,20,3.44
185,Yeppoon,AU,2022-05-13 00:21:56,-23.1333,150.7333,73.18,87,100,4.94
186,Suntar,RU,2022-05-13 00:21:56,62.1444,117.6319,44.24,90,91,6.22
187,Avarua,CK,2022-05-13 00:21:57,-21.2078,-159.775,84.25,84,75,10.36
188,Troitskoye,RU,2022-05-13 00:21:57,52.9821,84.6757,55.67,50,55,3.74
189,Bilibino,RU,2022-05-13 00:21:58,68.0546,166.4372,32.18,91,64,3.83
190,Kavaratti,IN,2022-05-13 00:21:58,10.5669,72.642,83.59,76,99,14.23
191,Brorup,DK,2022-05-13 00:21:59,55.4819,9.0176,50.43,94,55,8.63
192,Kovdor,RU,2022-05-13 00:21:59,67.5662,30.4758,37.17,90,53,2.13
193,Faanui,PF,2022-05-13 00:22:00,-16.4833,-151.75,82.27,67,8,16.67
194,Pedro Juan Caballero,PY,2022-05-13 00:22:00,-22.5472,-55.7333,56.16,77,0,5.77
195,Lorengau,PG,2022-05-13 00:22:01,-2.0226,147.2712,84.94,67,96,6.58
196,Nome,US,2022-05-13 00:22:02,64.5011,-165.4064,41.16,75,40,23.02
197,Kapoeta,SS,2022-05-13 00:22:02,4.7717,33.5903,76.5,64,92,5.73
198,Puro,PH,2022-05-13 00:22:03,12.4841,123.3827,84.22,70,54,7.76
199,San Cristobal,VE,2022-05-13 00:22:03,7.7669,-72.225,71.78,90,91,3.06
200,Mokolo,CM,2022-05-13 00:22:04,10.7398,13.8019,80.89,51,84,4.85
201,Ponta Do Sol,PT,2022-05-13 00:22:04,32.6667,-17.1,65.71,81,67,2.33
202,Ardakan,IR,2022-05-13 00:22:05,32.31,54.0175,70.41,18,0,21.23
203,Tahara,JP,2022-05-13 00:22:05,34.6667,137.2667,68.95,29,100,12.77
204,Codrington,AU,2022-05-13 00:22:06,-38.2667,141.9667,58.57,84,98,5.53
205,Guilin,CN,2022-05-13 00:22:07,25.2819,110.2864,68.11,93,100,5.12
206,Tabon,PH,2022-05-13 00:22:07,9.2388,117.9946,83.34,76,60,2.42
207,Guerrero Negro,MX,2022-05-13 00:17:20,27.9769,-114.0611,71.47,43,40,20.33
208,Qaanaaq,GL,2022-05-13 00:22:08,77.484,-69.3632,13.48,76,30,4.54
209,Port Elizabeth,ZA,2022-05-13 00:22:09,-33.918,25.5701,58.32,86,0,5.01
210,Balkanabat,TM,2022-05-13 00:22:09,39.5108,54.3671,63.61,60,43,3.31
211,Lasa,IT,2022-05-13 00:22:10,46.6166,10.7002,61.68,93,68,2.89
212,Vaasa,FI,2022-05-13 00:22:11,63.096,21.6158,44.94,93,0,6.91
213,Vestmanna,FO,2022-05-13 00:22:11,62.1564,-7.1664,40.12,75,75,21.85
214,Riyadh,SA,2022-05-13 00:22:12,24.6877,46.7219,78.94,14,0,9.84
215,Noumea,NC,2022-05-13 00:20:52,-22.2763,166.4572,78.78,99,100,18.5
216,Thakurgaon,BD,2022-05-13 00:22:13,26.0333,88.4667,78.39,86,1,6.85
217,Kumphawapi,TH,2022-05-13 00:22:13,17.1087,103.0149,82.81,99,100,3.91
218,Grand-Lahou,CI,2022-05-13 00:22:14,5.1367,-5.0242,79.83,84,83,7.11
219,Chapais,CA,2022-05-13 00:18:14,49.7834,-74.8492,53.38,95,100,8.75
220,Pitimbu,BR,2022-05-13 00:22:15,-7.4706,-34.8086,77.59,83,17,9.22
221,Maryville,US,2022-05-13 00:18:14,35.7565,-83.9705,79.0,62,20,9.22
222,Koshurnikovo,RU,2022-05-13 00:22:08,54.1667,93.3,44.17,48,10,3.27
223,Meulaboh,ID,2022-05-13 00:22:16,4.1363,96.1285,77.47,87,97,4.05
224,Ahipara,NZ,2022-05-13 00:22:17,-35.1667,173.1667,63.5,49,36,1.61
225,Rayevskiy,RU,2022-05-13 00:22:17,54.0658,54.9468,42.55,92,85,13.85
226,Sisimiut,GL,2022-05-13 00:22:18,66.9395,-53.6735,25.14,83,93,10.54
227,Kruisfontein,ZA,2022-05-13 00:22:18,-34.0033,24.7314,52.88,87,1,7.18
228,Bozhou,CN,2022-05-13 00:22:19,33.8772,115.7703,56.05,75,96,11.18
229,Saint-Georges,GD,2022-05-13 00:22:20,12.0564,-61.7485,80.28,78,20,16.11
230,Tiksi,RU,2022-05-13 00:22:21,71.6872,128.8694,18.39,83,16,10.6
231,Tilichiki,RU,2022-05-13 00:22:21,60.4667,166.1,36.48,81,100,3.91
232,Arraial Do Cabo,BR,2022-05-13 00:22:22,-22.9661,-42.0278,73.9,74,54,12.48
233,Mancio Lima,BR,2022-05-13 00:22:23,-7.6142,-72.8958,75.27,100,75,2.3
234,Mulanje,MW,2022-05-13 00:22:23,-16.0316,35.5,59.07,86,0,3.83
235,Komsomolskiy,UZ,2022-05-13 00:22:24,40.4272,71.7189,65.12,59,96,4.61
236,Grand Gaube,MU,2022-05-13 00:22:24,-20.0064,57.6608,71.38,82,41,1.01
237,Ambulu,ID,2022-05-13 00:22:25,-8.345,113.6058,79.57,87,32,2.13
238,Yulara,AU,2022-05-13 00:22:25,-25.2406,130.9889,66.0,37,1,6.64
239,Marawi,PH,2022-05-13 00:22:26,7.9986,124.2928,75.47,86,99,1.63
240,Bathsheba,BB,2022-05-13 00:22:26,13.2167,-59.5167,81.21,74,40,17.27
241,Khani,GE,2022-05-13 00:22:27,41.9563,42.9566,35.17,82,6,5.55
242,Rajula,IN,2022-05-13 00:22:27,21.05,71.4333,83.21,61,5,9.8
243,Mucurapo,TT,2022-05-13 00:22:28,10.6667,-61.5333,80.96,81,60,9.75
244,Eyl,SO,2022-05-13 00:22:28,7.9803,49.8164,83.43,72,100,13.24
245,Lavrentiya,RU,2022-05-13 00:22:29,65.5833,-171.0,31.1,76,8,6.17
246,Mnogovershinnyy,RU,2022-05-13 00:22:29,53.9353,139.9242,37.02,82,92,5.64
247,Asfi,MA,2022-05-13 00:22:30,32.2994,-9.2372,66.15,81,6,9.28
248,Butaritari,KI,2022-05-13 00:22:30,3.0707,172.7902,81.28,75,100,17.52
249,Prince Rupert,CA,2022-05-13 00:22:31,54.3161,-130.3201,48.29,70,20,11.5
250,Hithadhoo,MV,2022-05-13 00:22:31,-0.6,73.0833,83.17,70,98,14.05
251,Dudinka,RU,2022-05-13 00:22:32,69.4058,86.1778,38.62,96,100,10.8
252,Half Moon Bay,US,2022-05-13 00:22:32,37.4636,-122.4286,68.05,61,0,23.02
253,Naryan-Mar,RU,2022-05-13 00:22:33,67.6713,53.087,39.76,99,100,9.22
254,Kashi,CN,2022-05-13 00:22:05,39.4547,75.9797,54.61,87,40,4.47
255,Novovarshavka,RU,2022-05-13 00:22:34,54.1721,74.6946,55.71,52,65,3.65
256,Bayanday,RU,2022-05-13 00:22:34,53.0661,105.5139,48.43,47,33,3.76
257,Nantucket,US,2022-05-13 00:20:47,41.2835,-70.0995,57.0,94,100,9.22
258,Paamiut,GL,2022-05-13 00:22:35,61.994,-49.6678,33.67,100,100,9.06
259,Oranjemund,NA,2022-05-13 00:22:37,-28.55,16.4333,51.87,86,44,6.22
260,Okahandja,NA,2022-05-13 00:22:37,-21.9833,16.9167,54.97,36,5,2.46
261,Sabha,LY,2022-05-13 00:22:38,27.0377,14.4283,66.06,42,0,11.52
262,Sioux Lookout,CA,2022-05-13 00:18:11,50.1001,-91.917,59.07,72,75,9.22
263,Hutchinson,US,2022-05-13 00:21:00,38.0608,-97.9298,86.04,42,0,20.71
264,Praia Da Vitoria,PT,2022-05-13 00:22:38,38.7333,-27.0667,61.05,77,75,11.23
265,Qarqin,AF,2022-05-13 00:22:39,37.4185,66.0436,74.98,31,2,8.61
266,Batemans Bay,AU,2022-05-13 00:22:40,-35.7167,150.1833,62.1,91,100,4.16
267,Mabaruma,GY,2022-05-13 00:22:40,8.2,-59.7833,73.65,96,17,4.18
268,Kimberley,ZA,2022-05-13 00:22:40,-28.7323,24.7623,44.29,65,0,1.14
269,Alice Springs,AU,2022-05-13 00:22:38,-23.7,133.8833,69.22,32,12,3.44
270,Strathpeffer,GB,2022-05-13 00:22:44,57.588,-4.5382,49.1,85,100,6.51
271,Berezovyy,RU,2022-05-13 00:22:44,51.6667,135.7,49.66,64,86,3.58
272,Cayenne,GF,2022-05-13 00:22:45,4.9333,-52.3333,82.09,1,75,9.22
273,Azare,NG,2022-05-13 00:22:46,11.6765,10.1948,89.2,35,25,5.23
274,Abu Samrah,SY,2022-05-13 00:22:47,35.3029,37.1841,60.98,52,62,5.86
275,Namatanai,PG,2022-05-13 00:22:47,-3.6667,152.4333,84.87,65,98,5.32
276,Emerald,AU,2022-05-13 00:22:48,-23.5333,148.1667,71.74,100,100,8.05
277,Rorvik,NO,2022-05-13 00:17:55,64.8621,11.2373,44.15,85,100,14.74
278,Trairi,BR,2022-05-13 00:20:09,-3.2778,-39.2689,75.97,93,24,7.34
279,Sistranda,NO,2022-05-13 00:22:49,63.7256,8.834,44.56,83,100,13.06
280,Matias Romero,MX,2022-05-13 00:22:49,16.8833,-95.0333,85.57,50,11,14.61
281,Mehamn,NO,2022-05-13 00:22:50,71.0357,27.8492,35.51,92,100,21.97
282,Yenagoa,NG,2022-05-13 00:22:50,4.9247,6.2642,76.32,93,32,3.58
